Актикул;Partnumber;Категория;Производитель;Название;Розничная цена;Мелкий опт;Валюта
124838;HOT39D2A085;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39D2A085;5482;5334;Руб.
124805;NXW0K1025;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXW0K1025;136024;133357;Руб.
147750;SNCA-HRX550/INT;Кожухи для видеокамер (Ex);Sony;Кожух Sony SNCA-HRX550/INT;31270;34810;Руб.
162007;WHE32-12V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHE32-12V-mbsc25 с кронштейном;9037;По запросу;Руб.
124778;NXM0D1000B;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXM0D1000B;65419;64085;Руб.
161975;SV32P-03/04МNR;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV32P-03/04МNR защитный для видеокамер;15080;По запросу;Руб.
159618;CIVS-IPCA-1005=;Кожухи для видеокамер (Ex);Cisco;Купол Cisco CIVS-IPCA-1005=;3262;3262;Руб.
156336;ТВК-07-Н;Кожухи для видеокамер (Ex);Эридан;Взрывозащищённый термокожух Эридан ТВК-07-Н;67600;По запросу;Руб.
159152;UHO-HPS-51;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HPS-51;17014;17453;Руб.
100432;WIR26P;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WIR26P;79703;72114;Руб.
100412;SVS32P-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32P-12V;15721;14224;Руб.
100396;SVS26L;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26L;5439;4921;Руб.
100378;L320;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L320;6783;5063;Руб.
100362;EL320-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL320-12V;7129;5321;Руб.
100346;fresh 260-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox fresh 260-12V;5049;3768;Руб.
124904;HEG37K1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEG37K1A000;13335;12298;Руб.
124879;HPV42K2A016;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV42K2A016;13706;13409;Руб.
125760;HOV-260H-12-24;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HOV-260H-12-24;18100;По запросу;Руб.
100441;AWH32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox AWH32;70291;59623;Руб.
100425;SV32-03/04M;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32-03/04M;16190;16637;Руб.
100405;SVS32;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32;7895;7143;Руб.
